X.1,X,collar_id,masterID,x_,y_,t_,temp_c,fate,sl_,speed,julian,week,avg.bc,NDVI,total_precipitation
120,X21819.1.120,21819.1,R02M,20.0883686,14.8975674,2017-01-26T05:00:09Z,26,mortality,0.00147098743706258,4.05342363478254e-7,25,4,4.5,1366,4.4703484e-8
121,X21819.1.121,21819.1,R02M,20.0874138,14.8964484,2017-01-26T06:00:38Z,24,mortality,7.68439978051336e-6,2.15189016536359e-9,26,4,4.5,1362,4.4703484e-8
122,X21819.1.122,21819.1,R02M,20.0874201,14.8964528,2017-01-26T07:00:09Z,22,mortality,1.45361618041356e-5,4.0367014174217e-9,26,4,4.5,1362,4.4703484e-8
123,X21819.1.123,21819.1,R02M,20.0874138,14.8964659,2017-01-26T08:00:10Z,21,mortality,1.75000000002257e-5,4.82226508686296e-9,26,4,4.5,1362,4.4703484e-8
124,X21819.1.124,21819.1,R02M,20.0874138,14.8964484,2017-01-26T09:00:39Z,19,mortality,0,0,26,4,4.5,1362,4.4703484e-8
125,X21819.1.125,21819.1,R02M,20.0874138,14.8964484,2017-01-26T10:00:08Z,18,mortality,0.001502349949247,4.1731943034639e-7,26,4,4.5,1362,4.4703484e-8
126,X21819.1.126,21819.1,R02M,20.0861907,14.895576,2017-01-26T11:00:08Z,18,mortality,0.00718410124163175,1.995029503369e-6,26,4,4.5,1362,4.4703484e-8
127,X21819.1.127,21819.1,R02M,20.0816563,14.8900037,2017-01-26T12:00:09Z,18,mortality,0.00498245743383867,1.3725778054652e-6,26,4,4.5,1381,4.4703484e-8
128,X21819.1.128,21819.1,R02M,20.0842291,14.8942705,2017-01-26T13:00:39Z,22,mortality,0.00257262222061382,7.20622470760174e-7,26,4,4.5,1333,4.4703484e-8
129,X21819.1.129,21819.1,R02M,20.0861813,14.895946,2017-01-26T14:00:09Z,28,mortality,0.00233242188507953,6.48074988907899e-7,26,4,4.5,1362,4.4703484e-8
130,X21819.1.130,21819.1,R02M,20.0846276,14.8942064,2017-01-26T15:00:08Z,35,mortality,0.00410861055954492,1.14096377660231e-6,26,4,4.5,1333,4.4703484e-8
131,X21819.1.131,21819.1,R02M,20.0827044,14.8905757,2017-01-26T16:00:09Z,33,mortality,2.91158032676457e-5,8.02088244287759e-9,26,4,4.5,1381,4.4703484e-8
132,X21819.1.132,21819.1,R02M,20.0826917,14.8905495,2017-01-26T17:00:39Z,34,mortality,3.70724965417419e-5,1.03815448170658e-8,26,4,4.5,1381,4.4703484e-8
133,X21819.1.133,21819.1,R02M,20.0827283,14.8905436,2017-01-26T18:00:10Z,35,mortality,2.95670424628117e-5,8.14743523362129e-9,26,4,4.5,1381,4.0978193e-8
134,X21819.1.134,21819.1,R02M,20.0826997,14.8905511,2017-01-26T19:00:39Z,36,mortality,1.75000000002257e-5,4.903334267365e-9,26,4,4.5,1381,4.0978193e-8
135,X21819.1.135,21819.1,R02M,20.0826997,14.8905686,2017-01-26T20:00:08Z,37,mortality,1.74734083690616e-5,4.85372454696156e-9,26,4,4.5,1381,4.0978193e-8
